who,test number,time (s),max lower bound,upper bound,n iteration
T,001,0.1208,4922.0000,5988,101
M,001,1.23096,5627.270,4690,899
T,002,0.1139,3675.9873,6170,99
M,002,1.15872,5747.136,5602,889
T,003,0.1014,3292.9976,4286,95
M,003,1.22578,3788.243,3295,972
T,004,0.1182,3260.3847,5011,103
M,004,1.70645,4615.544,4049,913
T,005,0.2203,4445.0000,5283,101
M,005,1.29736,4811.093,4277,963
T,006,0.2733,55849.0087,58258,210
M,006,0.48860,57222.203,56446,351
T,007,0.6638,50563.0099,50972,484
M,007,0.40653,50230.333,48961,372
T,008,0.4046,58585.0066,59434,320
M,008,0.58946,58809.266,57081,481
T,009,0.2605,34486.7189,41005,205
M,009,0.67347,39468.693,39405,521
T,010,0.1126,36313.5553,53472,75
M,010,0.71032,52304.659,50771,680
T,011,0.3542,180673.6773,182354,306
M,011,0.26179,180153.192,180130,250
T,012,0.3085,231149.0651,234550,250
M,012,0.29594,230096.335,232159,266
T,013,0.4133,177328.2462,179687,334
M,013,0.32133,175730.960,176789,288
T,014,0.0572,92984.8441,157672,34
M,014,0.43141,155958.120,154891,423
T,015,0.3770,171741.5163,173020,361
M,015,0.29151,168401.275,170370,302
T,016,0.2861,407208.6547,407703,253
M,016,0.36623,407248.775,403858,341
T,017,0.2855,332415.6798,332856,265
M,017,0.55174,332248.605,329372,501
T,018,0.4066,544583.1349,544838,343
M,018,0.37280,544057.873,542064,330
T,019,0.2962,477052.6541,478027,247
M,019,0.32946,477014.554,473420,276
T,020,0.3654,405874.0746,406094,307
M,020,0.19981,405604.774,402516,191
T,021,0.2483,898868.8558,898925,201
M,021,0.23872,898856.807,898925,207
T,022,0.3185,556839.1982,556873,347
M,022,0.15046,556816.096,552503,169
T,023,0.2880,539701.9126,539716,307
M,023,0.17081,539698.721,539716,186
T,024,0.2697,744278.6838,744287,273
M,024,0.13784,744265.896,744287,142
T,025,0.3672,585273.3964,585306,381
M,025,0.33887,585280.462,585306,358
T,026,0.0022,8.0000,8,1
M,026,N/A,8.000,8,0
T,027,0.1203,96.0000,718,101
M,027,0.14322,96.000,88,101
T,028,0.0021,27.0000,27,1
M,028,N/A,27.000,27,0
T,029,0.1228,450.0000,480,101
M,029,0.14305,450.000,16,101
T,030,0.0019,50.0000,50,1
M,030,N/A,50.000,50,0
T,031,0.1651,19374.7547,24243,138
M,031,0.61197,23421.146,21509,464
T,032,0.3927,21545.2775,25469,320
M,032,0.73057,23792.145,24877,584
T,033,0.3239,29449.6084,33740,284
M,033,0.45235,31217.284,30308,429
T,034,0.1108,12931.3789,23156,103
M,034,1.00389,20358.561,20914,915
T,035,0.0799,12800.0896,19114,72
M,035,0.80527,18055.062,16805,783
T,036,0.4134,107477.9191,108293,379
M,036,0.40739,106376.938,106922,393
T,037,0.4738,181153.0795,182041,371
M,037,0.47623,180679.344,178542,413
T,038,0.7159,89343.9545,90644,629
M,038,0.52221,89341.280,89290,477
T,039,0.3959,151361.7710,151701,387
M,039,0.25162,149781.855,149724,255
T,040,0.3922,128441.1104,129870,372
M,040,0.32832,127253.735,126990,328
T,041,0.2667,461873.8139,462577,210
M,041,0.94493,461966.885,462414,614
T,042,0.3650,425165.5089,425948,196
M,042,1.33585,425260.725,421313,570
T,043,0.4030,320191.1841,320541,277
