# for SiPS
#   n
  100
#   p  r    d    ew    tw
    1  0  807     7     6
    4  0 2488     1     9
    5  0 1985     9     8
   10  0 1905     1     9
   13  0 1756     9    10
    6  0 2890     5     4
    3  0 1823     5     2
   14  0 4106     1     9
   11  0  148     1     7
    5  0 3149     9     3
   10  0 2905     7     6
   20  0 3619     9     9
   23  0 3472     4    10
    5  0  986     8     2
   13  0 4627     6     5
   17  0  388     2     5
   25  0 3083     4     7
   38  0 3958    10    10
   25  0 1332     7     6
   35  0  924    10     8
   23  0 3893     1     5
   44  0 3189     7     9
   20  0  838     6     4
   54  0 4027     9    10
   38  0 2236     6     7
   49  0  449     9     9
   11  0 1797     4     2
   55  0 3175     5    10
   50  0 1729     9     9
   50  0  138     3     9
   39  0 1209     7     7
   24  0 2461     5     4
   26  0 1054     5     4
   65  0 3757     6    10
   60  0 4261     8     9
    7  0 3181     3     1
   63  0 1045     2     9
   49  0 2381     4     7
   50  0 2754     5     7
   72  0 3452     4    10
   52  0 2259     4     7
   38  0    0     2     5
   56  0    0     3     7
   57  0  918     8     7
   49  0 4330     9     6
   76  0    0    10     9
   94  0 1957     1    10
   94  0  805     5    10
   49  0    0     1     5
   81  0 3979     7     8
   63  0 4359     4     6
   86  0  760     1     8
   99  0 1586     5     9
   33  0 1738     2     3
   89  0 1056     2     8
   35  0 2420    10     3
   71  0 2003    10     6
   83  0 4261     7     7
   95  0 1597     6     8
   72  0 4444     9     6
   62  0 4158     1     5
   63  0 1074     2     5
   89  0    0     5     7
   51  0 4438     6     4
   78  0 2883     7     6
   68  0 1410     4     5
   41  0 4318    10     3
   83  0  268    10     6
   97  0 2889     7     7
   98  0 4487     5     7
   74  0  960     4     5
   91  0   468     1     6
   76  0   271     8     5
   62  0  4097     8     4
   94  0     0     8     6
   49  0  1837     8     3
   83  0  4235     7     5
   95  0  1718    10     5
   76  0     0     2     4
   61  0   902     9     3
   42  0  4250     6     2
   88  0  3741     8     4
   95  0  3348    10     4
   54  0  1070     2     2
   28  0  1183     9     1
   57  0  1731     3     2
   29  0  2262     1     1
   31  0  3604    10     1
   35  0  2997     1     1
   74  0     0     6     2
   39  0  2803    10     1
   39  0  1011     2     1
   85  0     0     9     2
   52  0  2414     5     1
   53  0    31     9     1
   56  0  1245     8     1
   71  0   722    10     1
   84  0  4333     8     1
   87  0  2485     7     1
   91  0  1702     9     1
